CMCSA,CMCSK
42.66,42.25
43.05,42.49
42.55,42.02
42.47,41.8
42.74,42.16
42.91,42.24
42.95,42.22
44.09,43.32
44.47,43.63
44.76,43.97
45.1,44.35
44.61,43.88
44.79,44.03
44.53,43.77
45,44
43.49,42.64
43.3,42.52
43.83,43.13
43.7,42.97
44.35,43.46
42.92,42.1
43.07,42.33
42.63,41.98
42.45,41.95
42.55,41.89
41.42,40.84
40.82,40.42
39.98,39.65
41,40.69
41.36,40.96
41.34,40.8
41.63,41.15
41.45,40.94
41.69,41.33
27.45,27.18
27.13,26.97
26.47,26.21
25.3,25.3
25.72,25.45
25.54,25.38
25.44,25.24
25.3,25.15
25.88,25.73
25.78,25.58
26.03,25.9
26.12,26
26.17,26
25.51,25.43
25.83,25.59
25.72,25.48
25.44,25.2
25.9,25.55
26.28,25.97
26.85,26.44
26.73,26.38
26.51,26.16
26.3,25.96
26.08,25.72
25.76,25.39
25.86,25.46
25.95,25.47
25.74,25.33
26.24,25.65
26.36,25.8
26.61,26.02
26.46,25.98
26.71,26.26
27.42,27
27.87,27.35
28.18,27.7
27.89,27.45
28,27.57
27.83,27.36
27.56,27.05
27.91,27.36
27.65,27.06
27.53,27.02
28.09,27.59
27.1,26.82
26.93,26.66
26.66,26.4
26.7,26.3
27.14,26.78
27.24,26.86
26.89,26.55
26.73,26.49
26.45,26.22
26.28,26.07
26,25.77
26.41,26.09
26.58,26.23
26.59,26.26
27.2,26.71
26.9,26.58
27.53,27.11
27.54,27.18
27.36,27.08
27.33,27.02
26.86,26.56
27.24,27.01
27.08,26.86
27.47,27.24
27.41,27.18
27.35,27.18
27.04,26.86
27.11,26.86
26.79,26.66
26.18,26.1
26.33,26.19
26.37,26.28
26.15,26.05
26.87,26.62
27.52,27.17
27.99,27.62
27.98,27.75
28.1,27.68
28.18,27.85
28.39,28
27.76,27.59
27.7,27.44
27.82,27.54
27.92,27.65
28.06,27.91
28.12,27.96
28.44,28.24
28.59,28.34
28.47,28.27
28.58,28.41
28.29,28.14
27.6,27.47
27.75,27.62
27.72,27.44
27.97,27.71
27.64,27.48
28.18,28.05
29.02,28.81
28.97,28.8
28.59,28.41
28.85,28.66
28.31,28.14
28.54,28.27
27.21,27.19
26.66,26.55
27.21,26.97
26.27,26.17
26.09,25.88
25.81,25.62
25.57,25.45
25.92,25.73
25.88,25.78
25.72,25.49
25.05,25.02
25.44,25.36
25.76,25.7
25.5,25.38
25.09,24.98
24.98,24.91
25.25,25.09
24.63,24.46
24.52,24.42
25,24.88
25.47,25.34
25.48,25.27
25.84,25.76
24.92,24.8
25.73,25.5
25.54,25.39
26.09,25.86
25.94,25.77
25.77,25.61
25.67,25.52
25,24.84
25.11,24.93
25.49,25.27
25.22,24.97
25.24,24.9
25.17,24.8
24.89,24.51
25,24.58
24.32,23.92
23.72,23.46
23.87,23.7
23.67,23.45
24.09,23.82
24.33,24.05
24.25,23.97
24.18,23.96
24.35,24.09
24,23.75
23.78,23.65
23.94,23.79
24.22,24.08
23.8,23.61
23.9,23.74
23.7,23.5
23.68,23.48
24.01,23.8
23.9,23.74
24.2,24
24.13,23.89
24.07,23.79
23.46,23.28
23.69,23.43
23.6,23.3
23.85,23.58
21.28,21.11
21.23,21.08
20.92,20.78
20.9,20.84
21.05,20.87
20.6,20.4
20.55,20.3
20.42,20.16
20.69,20.53
20.09,19.94
19.82,19.67
19.38,19.22
18.94,18.73
19.92,19.64
19.65,19.41
19.66,19.46
19.89,19.72
19.35,19.21
19.37,19.22
19.19,19.08
19.54,19.34
19.1,19.03
19.47,19.33
19.97,19.74
20.31,20.08
20.54,20.21
21.05,20.86
20.73,20.5
18.18,18.01
18.3,18.22
18.28,18.22
18.35,18.21
17.78,17.75
17.63,17.52
18.04,17.96
18.14,18.08
18.1,17.99
18.08,17.92
18.03,17.94
18.12,18
18.41,18.3
18.3,18.2
18.53,18.38
18.43,18.36
18.4,18.18
18.26,18.12
17.7,17.6
17.34,17.25
16.84,16.75
17,16.87
16.62,16.54
17.06,16.93
17.22,17.1
17.12,17
17.67,17.57
17.67,17.58
18.18,18.02
17.41,17.35
17.03,16.9
16.65,16.61
17.26,17.1
17.44,17.18
17.22,17.02
17.69,17.52
17.96,17.84
17.65,17.53
18.16,17.99
18.55,18.39
18.16,17.94
17.44,17.28
17.52,17.34
17.38,17.16
17.06,16.86
17.03,16.84
17.23,17.09
17.81,17.6
19.24,19.08
20.19,19.97
20.47,20.23
20.15,19.9
19.59,19.39
20.15,19.87
20.31,20.03
20.17,19.96
20.26,20
20.12,19.88
19.54,19.35
20,19.78
19.98,19.73
19.88,19.58
19.71,19.4
19.67,19.41
19.39,19.11
19.61,19.22
19.45,19.05
19.4,19.1
18.92,18.55
18.85,18.47
19.38,18.98
19.32,18.84
19.36,18.83
20.21,19.76
20.54,20.04
19.71,19.27
19.58,19.14
18.98,18.58
19.34,18.97
20.14,19.82
20.48,20.06
20.44,20.03
20.29,19.98
20.76,20.4
20.51,20.25
20.1,19.83
19.96,19.74
19.65,19.41
19.77,19.52
